,moyenne,minimum,maximum,count,somme
"(45.1543159441061, 5.76034690089422)",4650.543411119793,2,9057,31243.0,145297410
"(45.154046459904, 5.75982646464411)",4621.251276601836,10,9032,31243.0,144382237
"(45.1540202490699, 5.75998073144869)",4636.225839882773,11,9047,31243.0,144850087
"(45.1538601663191, 5.76005703012677)",4652.513137069375,7,9065,31243.0,145358951
"(45.1539221005346, 5.76002027929244)",4645.579551567778,7,9058,31243.0,145142325
"(45.1539021290266, 5.75964922725342)",4614.659321597477,13,9028,31243.0,144176285
"(45.1538061453373, 5.75933241321141)",4593.255495926694,11,9008,31243.0,143507566
"(45.153853839904, 5.75941985297356)",4597.842770456449,10,9012,31243.0,143650886
"(45.1536855428431, 5.75950370414507)",4615.373162370725,14,9031,31243.0,144198588
"(45.1538265990103, 5.75955022968702)",4610.72604823571,4,9025,31243.0,144053398
"(45.1537994932937, 5.75957503510904)",4614.521907563599,4,9029,31243.0,144171992
"(45.153920106268, 5.75948661745818)",4599.54034070593,10,9013,31243.0,143703923
"(45.1539706155293, 5.75940731171848)",4589.631044675205,10,9003,31243.0,143394327
"(45.2011114628248, 5.70993030033263)",3625.384038591666,9,7734,31243.0,113267482
"(45.2011851481893, 5.70989486117473)",3633.31674620076,8,7742,31243.0,113515323
"(45.2012538742983, 5.70986376680713)",3640.6078682989737,8,7750,31243.0,113743119
"(45.2013210915823, 5.70982802138637)",3648.0482724788067,8,7758,31243.0,113975579
"(45.2016819564332, 5.7096808747068)",3685.5472837209695,7,7797,31243.0,115147158
"(45.2017442645365, 5.70964698422622)",3692.5143641167547,7,7805,31243.0,115364830
"(45.2018147990159, 5.70962434554891)",3699.5232127750255,8,7812,31243.0,115583807
"(45.201879739747, 5.70958109682952)",3707.2432954350966,7,7820,31243.0,115825005
"(45.2019411122765, 5.70956561545497)",3713.1101896353357,7,7826,31243.0,116008304
"(45.2020049500504, 5.709530753269)",3720.2782427618076,7,7834,31243.0,116232255
"(45.2020683268426, 5.70950130607704)",3727.1106996794892,7,7841,31243.0,116445721
"(45.202135500906, 5.70946606868921)",3734.5820529525386,7,7849,31243.0,116679148
"(45.2021998409016, 5.70944548330433)",3740.99287798926,7,7856,31243.0,116879441
"(45.2023317528679, 5.70937546608996)",3755.7360830874204,7,7871,31243.0,117340062
"(45.2023999817935, 5.70936090782547)",3762.1462345412892,7,7878,31243.0,117540334
"(45.2024678721981, 5.70932194053237)",3769.9103897772206,7,7886,31243.0,117782909
"(45.2025297662923, 5.70930189447993)",3776.1195685126963,7,7892,31243.0,117976902
"(45.2025974565364, 5.70925740986209)",3784.189360982094,8,7901,31243.0,118229026
"(45.2026643096162, 5.70922732599151)",3791.378504960678,8,7909,31243.0,118453636
"(45.2027340440695, 5.70918961640403)",3799.24223428692,8,7917,31243.0,118699322
"(45.202838885133, 5.70913733057587)",3810.8275713926964,12,7929,31243.0,119061282
"(45.2029679813832, 5.70908619210945)",3824.3629482343986,11,7943,31243.0,119484167
"(45.2030632541872, 5.70905248625472)",3834.134754304758,8,7953,31243.0,119789467
"(45.2031324659993, 5.70901117603548)",3842.187869585879,7,7962,31243.0,120041070
"(45.2031907481019, 5.70898263696969)",3848.6176415865066,7,7969,31243.0,120241955
"(45.2032579422869, 5.70895955501708)",3855.4866801175467,7,7976,31243.0,120456564
"(45.2033320447637, 5.70892732575691)",3863.445053141087,7,7984,31243.0,120705207
"(45.2033923547445, 5.70889099149512)",3870.497909916235,7,7992,31243.0,120925559
"(45.2034597224018, 5.70887484161126)",3877.006482298668,7,7998,31243.0,121128906
"(45.2035265866513, 5.70884130508196)",3884.452162995845,7,8006,31243.0,121361531
"(45.2035828605098, 5.70881132145943)",3890.825697812985,7,8013,31243.0,121560659
"(45.2036557303204, 5.70878732599855)",3898.2391779961276,8,8020,31243.0,121792278
"(45.2037147423257, 5.7087457166035)",3905.498225221845,8,8028,31243.0,122019072
"(45.2037821525606, 5.70871418828317)",3912.896215049454,7,8036,31243.0,122250207
"(45.2038427907989, 5.70869158726732)",3919.2285555755184,7,8042,31243.0,122448048
"(45.203909690905, 5.70866388606364)",3926.3764082825614,6,8050,31243.0,122671368
"(45.2039625247157, 5.70863347725892)",3932.5069113618442,5,8056,31243.0,122862903
"(45.2040051619113, 5.70861030535506)",3937.376938381782,4,8061,31243.0,123015057
"(45.2040396058819, 5.70859132563791)",3941.3313668948194,3,8065,31243.0,123138605
"(45.2040707076721, 5.70857676759491)",3944.750505953996,3,8069,31243.0,123245429
"(45.204104329611, 5.70855832142589)",3948.6082725107717,4,8073,31243.0,123365957
"(45.2041395009686, 5.70854281090219)",3952.422348868818,3,8077,31243.0,123485120
"(45.2041697807266, 5.7085287863985)",3955.755388141081,3,8080,31243.0,123589254
"(45.2042025265585, 5.70851316110537)",3959.3780935444242,4,8084,31243.0,123702438
"(45.204239665104, 5.70850003348415)",3963.229681840423,4,8088,31243.0,123822773
"(45.204273610174, 5.70848503735857)",3966.9208182922252,4,8092,31243.0,123938095
"(45.2043104661248, 5.70846674404612)",3971.0519258173977,4,8096,31243.0,124067163
"(45.2043497205574, 5.70844970911639)",3975.3055571392138,4,8101,31243.0,124200059
"(45.204383652102, 5.70843528477009)",3978.966222564495,3,8104,31243.0,124314429
"(45.2044159666305, 5.70842078391997)",3982.5009716872087,3,8108,31243.0,124424865
"(45.2044920499563, 5.70838659918264)",3990.8272966951386,4,8117,31243.0,124685004
"(45.2045309677097, 5.7083666858255)",3995.2260803683835,4,8121,31243.0,124822435
"(45.2045698178719, 5.7083496316404)",3999.45448981085,4,8126,31243.0,124954543
"(45.2046057706698, 5.70833530278509)",4003.2912904993063,4,8130,31243.0,125074416
"(45.2046450385975, 5.70831769583692)",4007.590979974639,4,8134,31243.0,125208751
